country_code,team,team_code,season,year,league_tier,league_games,league_points,group,group_games,group_points,lat,lon
UKR,Dynamo Kyiv,DKV,2018/19,2018,1,22,50,1,10,22,50.433442077237,30.5218116055959
UKR,Dynamo Kyiv,DKV,2019/20,2019,1,22,45,1,10,14,50.433442077237,30.5218116055959
UKR,Dynamo Kyiv,DKV,2020/21,2020,1,26,65,,,,50.433442077237,30.5218116055959
UKR,Dynamo Kyiv,DKV,2021/22,2021,1,18,45,,,,50.433442077237,30.5218116055959
UKR,Dynamo Kyiv,DKV,2022/23,2022,1,30,60,,,,50.433442077237,30.5218116055959
UKR,Dynamo Kyiv,DKV,2023/24,2023,1,30,69,,,,50.433442077237,30.5218116055959
UKR,Dynamo Kyiv,DKV,2024/25,2024,1,30,70,,,,50.433442077237,30.5218116055959
UKR,Shakhtar Donezk,SHD,2018/19,2018,1,22,57,1,10,26,48.0210781351681,37.8101320764039
UKR,Shakhtar Donezk,SHD,2019/20,2019,1,22,59,1,10,23,48.0210781351681,37.8101320764039
UKR,Shakhtar Donezk,SHD,2020/21,2020,1,26,54,,,,48.0210781351681,37.8101320764039
UKR,Shakhtar Donezk,SHD,2021/22,2021,1,18,47,,,,48.0210781351681,37.8101320764039
UKR,Shakhtar Donezk,SHD,2022/23,2022,1,30,72,,,,48.0210781351681,37.8101320764039
UKR,Shakhtar Donezk,SHD,2023/24,2023,1,30,71,,,,48.0210781351681,37.8101320764039
UKR,Shakhtar Donezk,SHD,2024/25,2024,1,30,62,,,,48.0210781351681,37.8101320764039
UKR,Zorya Luhansk,ZOR,2018/19,2018,1,22,32,1,10,11,48.5595211423369,39.3208818521371
UKR,Zorya Luhansk,ZOR,2019/20,2019,1,22,43,1,10,15,48.5595211423369,39.3208818521371
UKR,Zorya Luhansk,ZOR,2020/21,2020,1,26,50,,,,48.5595211423369,39.3208818521371
UKR,Zorya Luhansk,ZOR,2021/22,2021,1,18,36,,,,48.5595211423369,39.3208818521371
UKR,Zorya Luhansk,ZOR,2022/23,2022,1,30,64,,,,48.5595211423369,39.3208818521371
UKR,Zorya Luhansk,ZOR,2023/24,2023,1,30,32,,,,48.5595211423369,39.3208818521371
UKR,Zorya Luhansk,ZOR,2024/25,2024,1,30,40,,,,48.5595211423369,39.3208818521371
UKR,FK Oleksandriya,FKO,2018/19,2018,1,22,41,1,10,8,48.6749472945391,33.1037959935718
UKR,FK Oleksandriya,FKO,2019/20,2019,1,22,37,1,10,12,48.6749472945391,33.1037959935718
UKR,FK Oleksandriya,FKO,2020/21,2020,1,26,29,,,,48.6749472945391,33.1037959935718
